 accX_mean, accX_std_deviation, accX_variance, accX_median, accX_min, accX_max, accX_add, accY_mean, accY_std_deviation, accY_variance, accY_median, accY_min, accY_max, accY_add, accZ_mean, accZ_std_deviation, accZ_variance, accZ_median, accZ_min, accZ_max, accZ_add, average_resultant_acceleration,class
-1977.6,4404.525381922552,19399843.84,-4688.0,-5648,6176,3713.28,3660.8,21536.697522136492,463829340.16,5120.0,-27616,31440,18826.24,-11315.2,8612.694036130622,74178498.55999999,-13248.0,-20960,2912,7496.960000000001,12055.957425273204,Shake
14912.0,2481.5994842036857,6158335.999999999,16112.0,11536,18160,2304.0,-30508.8,3850.19180820904,14823976.959999995,-32320.0,-32624,-22816,3077.120000000001,21648.0,5935.176223163049,35226316.8,22608.0,11424,27872,4960.0,40271.46043341364,Shake
2758.4,5741.629371528607,32966307.83999999,1856.0,-5952,11664,4532.480000000001,1091.2,11078.903743602074,122742108.16,-1808.0,-12336,18512,9859.84,-2057.6,8606.421267867381,74070487.03999998,-3856.0,-13024,11376,7540.48,3610.153149106004,Shake
-7782.4,1388.099362437718,1926819.84,-8288.0,-8944,-5120,1064.9600000000003,27244.8,7366.504256429911,54265384.95999999,29664.0,12848,32640,5758.72,-18787.2,2450.1094179648385,6003036.159999998,-18768.0,-21360,-14736,2013.44,33997.11400457397,Shake
9833.6,5402.322226598484,29185085.440000005,11520.0,368,15328,4615.68,-27270.4,9568.682785002331,91559690.23999996,-32496.0,-32624,-8208,7624.959999999999,12009.6,17918.904537945393,321087139.84,14000.0,-12640,32560,16186.88,31378.414511890176,Shake
6307.2,4776.0940694253495,22811074.559999995,8416.0,-1152,12288,4309.76,-10912.0,10671.124401861314,113872896.0,-9232.0,-27184,3824,9139.2,9772.8,13363.015324394417,178570178.56000003,6096.0,-5600,31904,11682.56,15948.671909597992,Shake
-8889.6,1531.07878308074,2344202.24,-9104.0,-10336,-6032,1143.0399999999995,27011.2,7388.573404927368,54591016.96,32144.0,13856,32640,6549.76,-17568.0,4379.629938704868,19181158.4,-20000.0,-22080,-10240,3980.8,33425.50729009209,Shake
412.8,7141.582748942982,51002204.16,160.0,-8096,12832,5551.36,-10361.6,21392.26590709829,457629040.6400001,-15216.0,-32560,23056,19220.48,-4688.0,10446.581220667362,109131059.2,-9616.0,-15168,13520,9190.4,11380.268116349456,Shake
12185.6,3700.77751830612,13695754.24,12864.0,6512,16304,3310.080000000001,-23350.4,9464.048554397848,89568215.04,-26928.0,-32624,-9264,8849.92,23302.4,9812.311483029878,96281456.64000002,29088.0,6768,32432,8971.52,35167.19882617892,Shake
-4054.4,4398.872291849356,19350077.440000005,-5440.0,-8528,3072,3960.32,14409.6,13076.20240895651,170987069.44000003,13664.0,-3936,32352,11358.72,-12060.8,7862.865594679843,61824655.35999999,-12128.0,-22912,-608,6666.24,19223.36152081628,Shake
-2732.8,5770.49177800298,33298575.35999999,-6768.0,-8032,6608,5405.44,7680.0,22672.622150955543,514047795.2,11968.0,-27632,32624,20198.4,-15558.4,6637.162574474125,44051927.03999999,-16032.0,-23712,-4960,5617.92,17564.57817313015,Shake
9814.4,2479.671720208141,6148771.840000002,9744.0,6816,13248,2190.08,-27020.8,7374.020732273539,54376181.76000001,-32480.0,-32624,-14176,6659.839999999998,25737.6,7495.890543491148,56188375.04000002,30288.0,13664,32576,7015.68,38585.879979080426,Shake
-1363.2,3660.9090892836975,13402255.359999998,-2304.0,-6704,4256,3061.76,9104.0,11671.286612880349,136218931.20000002,8432.0,-6720,24368,10316.8,-8515.2,9927.539844291736,98556047.35999998,-9056.0,-21072,6128,8636.16,12539.926685591108,Shake
-4118.4,3008.656949537451,9052016.64,-4368.0,-7616,-288,2725.12,12985.6,19049.28472777915,362875248.6400001,20112.0,-17200,31280,17486.079999999998,-17187.2,6165.424313054212,38012456.96,-18320.0,-24192,-7728,5506.56,21931.412853712824,Shake
7801.6,1455.8980184065094,2119639.04,7648.0,5552,9392,1259.52,-26784.0,7124.180345836286,50753945.6,-31280.0,-32592,-14032,6265.6,23417.6,10379.902303971845,107742371.83999996,24272.0,3952,32608,7786.240000000002,36422.95441503888,Shake
4656.0,145.76693726630882,21248.0,4680.0,4384,4816,122.66666666666669,-5237.333333333333,231.06324290596768,53390.22222222223,-5232.0,-5664,-4896,165.33333333333334,3458.666666666666,214.74532720307457,46115.555555555555,3408.0,3216,3840,179.55555555555554,7814.753454559878,Midair-S
5513.6,309.85519198490124,96010.24,5360.0,5104,5936,286.72000000000014,-6006.4,215.28176885189325,46346.23999999999,-6096.0,-6272,-5744,203.52000000000007,4121.6,640.2879352291436,409968.64,3904.0,3408,5136,581.1200000000001,9135.875025414916,Midair-S
5443.2,333.84451470707137,111452.16,5632.0,5008,5856,316.16,-4880.0,548.2189343683782,300544.0000000001,-4800.0,-5712,-4176,480.0,7833.6,1452.2360138765325,2108989.4399999995,7760.0,5888,10032,1233.92,10714.854884691626,Midair-S
4403.2,366.73172756116963,134492.16,4336.0,3968,4976,323.84,-2640.0,1124.06120829784,1263513.6,-2800.0,-4000,-928,992.0,11020.8,409.6,167772.15999999995,11040.0,10464,11680,330.2400000000001,12157.952248631345,Midair-S
3299.2,611.3088908236164,373698.56000000006,3552.0,2208,3920,520.96,598.4,530.0421115345459,280944.64,448.0,-64,1536,417.27999999999986,9916.8,602.2804662281519,362741.76,10096.0,8752,10480,465.92000000000036,10468.320086814309,Midair-S
73.6,681.877877629125,464957.44,112.0,-1136,896,513.28,-1497.6,2124.9686680043073,4515491.84,-1952.0,-3696,1888,1889.28,4796.8,2580.545554722877,6659215.3599999985,5680.0,400,7392,2269.44,5025.685322421212,Midair-S
-2886.4,361.13244107944666,130416.63999999994,-2960.0,-3344,-2240,267.52,-2720.0,390.8718460058232,152780.8,-2560.0,-3248,-2288,371.2,-4585.6,1855.2715811977505,3442032.6400000006,-5232.0,-6448,-1424,1633.28,6062.7908029223645,Midair-S
-4265.6,247.5815825137242,61296.64000000001,-4192.0,-4624,-3984,229.1200000000001,-4217.6,544.0564676575401,295997.44,-3904.0,-4992,-3696,523.5200000000002,-11459.2,4212.619821441284,17746165.759999998,-12912.0,-15856,-5040,3893.76,12934.3247894894,Midair-S
-3958.4,32.9460164511584,1085.4399999999996,-3968.0,-4000,-3920,30.71999999999998,-4528.0,968.1256116847647,937267.2,-4192.0,-6064,-3520,883.2,-13228.8,873.6293035378336,763228.16,-13696.0,-14352,-12176,823.0400000000003,14531.788052404287,Midair-S
-2291.2,631.9817718890317,399400.96000000014,-1904.0,-3376,-1744,573.4399999999998,-5916.8,635.6975381421578,404111.36,-6304.0,-6400,-4736,535.04,-18057.6,1543.8665227279205,2383523.840000001,-17872.0,-19712,-15600,1317.1199999999994,19139.880810496183,Midair-S
-3193.6,659.4329685419132,434851.84,-3440.0,-3840,-2112,596.48,-4787.2,1086.5590457954877,1180610.5600000005,-4336.0,-6880,-3936,837.1199999999999,-12371.2,2410.1205281064263,5808680.959999999,-12448.0,-15776,-8832,2031.36,13644.154581358274,Midair-S
-5472.0,738.7773683593725,545792.0,-5264.0,-6352,-4400,665.6,-7532.8,412.2166420706472,169922.56000000006,-7488.0,-8048,-6864,341.7600000000001,518.4,6176.494073501569,38149079.04000001,-576.0,-7344,10704,5191.68,9324.944954261124,Midair-S
-2579.2,1793.5250653392054,3216732.16,-3072.0,-5216,-544,1608.96,-5465.6,1130.2660925640475,1277501.4400000002,-5936.0,-6864,-3568,974.08,20873.6,2018.502573691696,4074352.64,21120.0,17088,22864,1514.240000000001,21730.905019349742,Midair-S
777.6,574.0054355143337,329482.23999999993,1040.0,-368,1104,458.24000000000007,-2688.0,1140.2512003940185,1300172.8,-3168.0,-3904,-912,1056.0,20025.6,1129.359747821747,1275453.4400000002,20304.0,18736,21680,1012.4800000000004,20220.15482433307,Midair-S
-172.8,861.4124215496315,742031.3600000001,-112.0,-1408,976,751.36,-3580.8,946.6484880883718,896143.3600000001,-4112.0,-4304,-1792,771.8399999999998,19088.0,1293.330584189518,1672704.0,19040.0,17104,20896,1068.8,19421.73350862379,Midair-S
-4435.2,1258.4343288388154,1583656.9600000004,-4752.0,-6240,-2560,1084.16,-6947.2,3011.3411231542664,9068175.359999998,-5792.0,-12016,-4064,2691.84,14086.4,1200.5161556597227,1441239.0399999996,13904.0,12400,15648,1070.08,16320.57755840767,Midair-S
-6505.6,616.4133677979413,379965.44000000006,-6832.0,-7152,-5456,551.68,-16803.2,1689.8424068533732,2855567.360000001,-16320.0,-19840,-14880,1360.64,7980.8,5114.39092756899,26156994.559999995,10960.0,-768,13056,4605.44,19706.941169039907,Midair-S
-1244.8,1679.5092616594882,2820751.359999999,-256.0,-3568,416,1621.76,-19756.8,2604.5798432760707,6783836.159999998,-20064.0,-22640,-16016,2339.84,-7923.2,788.8762640617349,622325.7600000001,-7696.0,-9440,-7168,606.7199999999998,21322.70553940095,Midair-S
354.66666666666674,233.22283097691974,54392.888888888876,328.0,16,640,210.66666666666669,-962.6666666666665,391.8548484097424,153550.22222222222,-832.0,-1728,-608,318.22222222222223,7856.0,288.29614403711105,83114.66666666669,7808.0,7504,8336,245.33333333333331,7922.704813102376,Backhand Tennis
